NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HOLLMANN_APOPTOSIS_VIA_CD40_UP	203		Rejected!	
HOLLMANN_APOPTOSIS_VIA_CD40_DN	267	31		
LIU_PROSTATE_CANCER_UP	98		Rejected!	
LIU_PROSTATE_CANCER_DN	491	20		
LIU_SOX4_TARGETS_UP	139		Rejected!	
LIU_SOX4_TARGETS_DN	310	24		
ONKEN_UVEAL_MELANOMA_UP	790	76		
ONKEN_UVEAL_MELANOMA_DN	529	40		
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	206	25		
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	180		Rejected!	
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	352	26		
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	85		Rejected!	
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	60		Rejected!	
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN	20		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_EARLY_UP	20		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN	6		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_LATE_UP	11		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_LATE_DN	22		Rejected!	
NAM_FXYD5_TARGETS_DN	18		Rejected!	
FRASOR_TAMOXIFEN_RESPONSE_UP	51		Rejected!	
FRASOR_TAMOXIFEN_RESPONSE_DN	12		Rejected!	
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	136	16		
KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN	10		Rejected!	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP	302		Rejected!	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	358	23		
WATANABE_COLON_CANCER_MSI_VS_MSS_UP	29		Rejected!	
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	69		Rejected!	
KOBAYASHI_EGFR_SIGNALING_6HR_UP	7		Rejected!	
KOBAYASHI_EGFR_SIGNALING_6HR_DN	18		Rejected!	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	154		Rejected!	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	53		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	26		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	467	28		
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP	30		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	39		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP	39		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	66		Rejected!	
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	147		Rejected!	
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	402	22		
ZERBINI_RESPONSE_TO_SULINDAC_UP	9		Rejected!	
ZERBINI_RESPONSE_TO_SULINDAC_DN	6		Rejected!	
IGARASHI_ATF4_TARGETS_UP	5		Rejected!	
IGARASHI_ATF4_TARGETS_DN	98		Rejected!	
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	187	17		
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	71		Rejected!	
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	339	20		
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	179		Rejected!	
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	258	24		
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN	66		Rejected!	
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_UP	64		Rejected!	
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_DN	14		Rejected!	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP	402	22		
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	174		Rejected!	
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_UP	66		Rejected!	
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_DN	7		Rejected!	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP	46		Rejected!	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	202		Rejected!	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP	73		Rejected!	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN	70		Rejected!	
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP	23		Rejected!	
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_DN	7		Rejected!	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	70		Rejected!	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	91		Rejected!	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	96		Rejected!	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	74		Rejected!	
CHANDRAN_METASTASIS_TOP50_UP	37		Rejected!	
CHANDRAN_METASTASIS_TOP50_DN	44		Rejected!	
WILCOX_RESPONSE_TO_PROGESTERONE_UP	153	16		
WILCOX_RESPONSE_TO_PROGESTERONE_DN	62		Rejected!	
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	585	55		
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	454	54		
GARY_CD5_TARGETS_UP	473	49		
GARY_CD5_TARGETS_DN	440	37		
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	449	21		
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN	377	17		
SAMOLS_TARGETS_OF_KHSV_MIRNAS_UP	8		Rejected!	
SAMOLS_TARGETS_OF_KHSV_MIRNAS_DN	59		Rejected!	
HOOI_ST7_TARGETS_UP	92		Rejected!	
HOOI_ST7_TARGETS_DN	117		Rejected!	
PRAMOONJAGO_SOX4_TARGETS_UP	52		Rejected!	
PRAMOONJAGO_SOX4_TARGETS_DN	49		Rejected!	
PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	79		Rejected!	
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	146		Rejected!	
PIEPOLI_LGI1_TARGETS_UP	17		Rejected!	
PIEPOLI_LGI1_TARGETS_DN	17		Rejected!	
THUM_SYSTOLIC_HEART_FAILURE_UP	429	31		
THUM_SYSTOLIC_HEART_FAILURE_DN	206	16		
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_UP	173	18		
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	669	78		
CORRE_MULTIPLE_MYELOMA_UP	77		Rejected!	
CORRE_MULTIPLE_MYELOMA_DN	58		Rejected!	
HUTTMANN_B_CLL_POOR_SURVIVAL_UP	285	20		
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	59		Rejected!	
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP	1399	165		
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_DN	117	18		
CASORELLI_APL_SECONDARY_VS_DE_NOVO_UP	39		Rejected!	
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	367	28		
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	324	20		
LIU_CMYB_TARGETS_UP	164		Rejected!	
LIU_CMYB_TARGETS_DN	6		Rejected!	
LIU_VMYB_TARGETS_UP	125		Rejected!	
LIU_TARGETS_OF_VMYB_VS_CMYB_UP	15		Rejected!	
LIU_TARGETS_OF_VMYB_VS_CMYB_DN	44		Rejected!	
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	385	17		
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	455	32		
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	453	24		
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	465	24		
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	125		Rejected!	
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	52		Rejected!	
DOANE_BREAST_CANCER_CLASSES_UP	71		Rejected!	
DOANE_BREAST_CANCER_CLASSES_DN	33		Rejected!	
DOANE_RESPONSE_TO_ANDROGEN_UP	184	20		
DOANE_RESPONSE_TO_ANDROGEN_DN	242	24		
DOANE_BREAST_CANCER_ESR1_UP	111		Rejected!	
DOANE_BREAST_CANCER_ESR1_DN	47		Rejected!	
WANG_RESPONSE_TO_ANDROGEN_UP	28		Rejected!	
WANG_RESPONSE_TO_FORSKOLIN_UP	22		Rejected!	
WANG_RESPONSE_TO_FORSKOLIN_DN	9		Rejected!	
TIMOFEEVA_GROWTH_STRESS_VIA_STAT1_DN	16		Rejected!	
LAIHO_COLORECTAL_CANCER_SERRATED_UP	115	15		
LAIHO_COLORECTAL_CANCER_SERRATED_DN	86		Rejected!	
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	311	26		
BORCZUK_MALIGNANT_MESOTHELIOMA_DN	105		Rejected!	
ROY_WOUND_BLOOD_VESSEL_UP	50		Rejected!	
ROY_WOUND_BLOOD_VESSEL_DN	23		Rejected!	
GRABARCZYK_BCL11B_TARGETS_UP	81		Rejected!	
GRABARCZYK_BCL11B_TARGETS_DN	60		Rejected!	
NEWMAN_ERCC6_TARGETS_UP	26		Rejected!	
NEWMAN_ERCC6_TARGETS_DN	39		Rejected!	
HORIUCHI_WTAP_TARGETS_UP	308	20		
HORIUCHI_WTAP_TARGETS_DN	317	23		
GAL_LEUKEMIC_STEM_CELL_UP	128		Rejected!	
GAL_LEUKEMIC_STEM_CELL_DN	235	15		
CHOI_ATL_CHRONIC_VS_ACUTE_DN	19		Rejected!	
BASAKI_YBX1_TARGETS_UP	292	18		
BASAKI_YBX1_TARGETS_DN	392	43		
NOJIMA_SFRP2_TARGETS_UP	32		Rejected!	
NOJIMA_SFRP2_TARGETS_DN	26		Rejected!	
WIKMAN_ASBESTOS_LUNG_CANCER_UP	17		Rejected!	
WIKMAN_ASBESTOS_LUNG_CANCER_DN	30		Rejected!	
RODRIGUES_DCC_TARGETS_UP	6		Rejected!	
RODRIGUES_DCC_TARGETS_DN	119	18		
RODRIGUES_NTN1_TARGETS_UP	17		Rejected!	
RODRIGUES_NTN1_TARGETS_DN	160	18		
WANG_LMO4_TARGETS_UP	364	32		
WANG_LMO4_TARGETS_DN	357	23		
WANG_CLIM2_TARGETS_UP	261		Rejected!	
WANG_CLIM2_TARGETS_DN	181	17		
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	176		Rejected!	
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	145	30		
VECCHI_GASTRIC_CANCER_EARLY_UP	434	22		
VECCHI_GASTRIC_CANCER_EARLY_DN	380	40		
BARRIER_COLON_CANCER_RECURRENCE_UP	42		Rejected!	
BARRIER_COLON_CANCER_RECURRENCE_DN	19		Rejected!	
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	159	18		
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_DN	5		Rejected!	
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	79		Rejected!	
JAEGER_METASTASIS_UP	46		Rejected!	
JAEGER_METASTASIS_DN	258	17		
OSMAN_BLADDER_CANCER_UP	398	27		
OSMAN_BLADDER_CANCER_DN	423	26		
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	68		Rejected!	
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	333		Rejected!	
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	109		Rejected!	
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	184		Rejected!	
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP	221	18		
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN	280	20		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	32		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_DN	23		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_UP	83		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_DN	56		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_UP	16		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_DN	26		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_UP	28		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_DN	12		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_LIGHTYELLOW_UP	11		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_UP	26		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_DN	24		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP	139	15		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_DN	62		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_UP	35		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_DN	11		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_UP	19		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_DN	79		Rejected!	
RUNNE_GENDER_EFFECT_UP	9		Rejected!	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP	86		Rejected!	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_DN	44		Rejected!	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	183		Rejected!	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_DN	30		Rejected!	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	156		Rejected!	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN	204	19		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	194		Rejected!	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN	150	19		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP	177		Rejected!	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN	127		Rejected!	
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_UP	14		Rejected!	
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_DN	7		Rejected!	
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_UP	31		Rejected!	
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	33		Rejected!	
BILBAN_B_CLL_LPL_UP	64		Rejected!	
BILBAN_B_CLL_LPL_DN	42		Rejected!	
HOEBEKE_LYMPHOID_STEM_CELL_UP	97		Rejected!	
HOEBEKE_LYMPHOID_STEM_CELL_DN	88	15		
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	32		Rejected!	
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN	22		Rejected!	
AKL_HTLV1_INFECTION_UP	27		Rejected!	
AKL_HTLV1_INFECTION_DN	69		Rejected!	
RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP	76		Rejected!	
RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	368	60		
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_UP	262	15		
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_DN	125		Rejected!	
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_UP	129		Rejected!	
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_DN	76		Rejected!	
MULLIGHAN_MLL_SIGNATURE_1_UP	384	47		
MULLIGHAN_MLL_SIGNATURE_1_DN	238		Rejected!	
MULLIGHAN_MLL_SIGNATURE_2_UP	420	44		
MULLIGHAN_MLL_SIGNATURE_2_DN	278		Rejected!	
MULLIGHAN_NPM1_SIGNATURE_3_UP	332	22		
MULLIGHAN_NPM1_SIGNATURE_3_DN	161		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_UP	15		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN	7		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	184		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	193	16		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_UP	54		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_DN	18		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	203	18		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_DN	56		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP	159		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_DN	18		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_UP	21		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_DN	10		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINDED_IN_ERYTHROCYTE_UP	44		Rejected!	
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	14		Rejected!	
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_DN	7		Rejected!	
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP	53		Rejected!	
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	42		Rejected!	
DITTMER_PTHLH_TARGETS_UP	113	26		
DITTMER_PTHLH_TARGETS_DN	70		Rejected!	
UDAYAKUMAR_MED1_TARGETS_UP	135	15		
UDAYAKUMAR_MED1_TARGETS_DN	244	17		
ODONNELL_TFRC_TARGETS_UP	427	28		
ODONNELL_TFRC_TARGETS_DN	137		Rejected!	
ODONNELL_TARGETS_OF_MYC_AND_TFRC_UP	82		Rejected!	
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	47		Rejected!	
SENESE_HDAC1_TARGETS_UP	451	33		
SENESE_HDAC1_TARGETS_DN	266	15		
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	243	15		
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	238	19		
SENESE_HDAC2_TARGETS_UP	116		Rejected!	
SENESE_HDAC2_TARGETS_DN	133		Rejected!	
SENESE_HDAC3_TARGETS_UP	494	32		
SENESE_HDAC3_TARGETS_DN	547	36		
LEE_NEURAL_CREST_STEM_CELL_UP	147		Rejected!	
LEE_NEURAL_CREST_STEM_CELL_DN	122		Rejected!	
HUMMEL_BURKITTS_LYMPHOMA_UP	43		Rejected!	
HUMMEL_BURKITTS_LYMPHOMA_DN	15		Rejected!	
TIEN_INTESTINE_PROBIOTICS_2HR_UP	30		Rejected!	
